id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,COGR,cogr,.,1,.,.,.,1,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,MODO,modo,.,2,.,.,.,2,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,ROPI,ropi,1,.,.,.,.,1,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,AMRO,amro,.,.,1,.,.,1,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,NOCA,noca,.,.,.,1,.,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-3,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,3,EUST,eust,.,.,1,.,.,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-2,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,2,GRCA,grca,.,.,1,.,.,1,A,a,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-2,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,2,ROPI,ropi,1,.,.,.,.,1,B,b,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-2,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,2,HOSP,hosp,.,2,.,1,.,3,A/V,a/v,72,0,0,.,.,.,.,.
blocdavmd1-151-2013-2,blocdavmd1,sck,31/5/2013,31,5,2013,5/31/2013,151,8:00:00,800,2,AMRO,amro,.,.,.,.,1,1,A,a,72,0,0,.,.,.,.,.
